toxic-rest-0	把这帮小自贤孙虫报	把这帮孝子贤孙冲爆	[(4, '孝'), (5, '子'), (8, '冲'), (9, '爆')]
toxic-rest-290	肯定是支持陳通的	肯定是支持撑同的	[(6, '撑'), (7, '同')]
toxic-rest-291	那我们河南的杨靖宇呢，我都听说过男大人说他是吹出来的😠	那我们河南的杨靖宇呢，我都听说过南大人说他是吹出来的😠	[(17, '南')]
toxic-rest-292	呵呵，知道女权变成女全之前结婚率血崩了么？涨价去库存不好用了，恼羞成怒	呵呵，知道女权变成女拳之前结婚率血崩了么？涨价去库存不好用了，恼羞成怒	[(11, '拳')]
toxic-rest-293	想给阿那上坟捏	想给阿娜上坟捏	[(4, '娜')]
toxic-rest-294	男的再落破也不可能看上黑女吧。。	男的再落魄也不可能看上黑女吧。。	[(5, '魄')]
toxic-rest-295	女全发财新手段	女拳发财新手段	[(2, '拳')]
toxic-rest-296	痛经是女性身体结构的问题，应该找女娲或者上帝达全，而不是把这种责任扔给男人	痛经是女性身体结构的问题，应该找女娲或者上帝打拳，而不是把这种责任扔给男人	[(23, '打'), (24, '拳')]
toxic-rest-297	可以让鬼从组好好看看它们虫爹在面对人类精英足球队根本就没有赢可能性	可以让跪虫族好好看看它们虫爹在面对人类精英足球队根本就没有赢可能性	[(4, '跪'), (5, '虫'), (6, '族')]
toxic-rest-298	说唱就是个及把	说唱就是个寄吧	[(6, '寄'), (7, '吧')]
toxic-rest-299	别皮图啦，这图我都知道你从哪里偷来的	别批图啦，这图我都知道你从哪里偷来的	[(2, '批')]
toxic-rest-300	难铜性恋骗婚形婚骗子宫很常见，二者都是压迫女性的行为。如果见到同性恋我不会去指责，排斥，辱骂，我只会远远的离开不和他们扯上关系	男同性恋骗婚形婚骗子宫很常见，二者都是压迫女性的行为。如果见到同性恋我不会去指责，排斥，辱骂，我只会远远的离开不和他们扯上关系	[(1, '男'), (2, '同')]
toxic-rest-301	为什么？为什么支持同性恋平权才是理性？自由的表达对LGBT的厌恶就是愚昧？说实话，从小到大周边不乏伪娘，公众面前以受迫害者形象博同情，私下里没有一点难为情，甚至往往更嫂😅。在这个问题上，我们太讲求正直正确了，有点太左了。别误会，不是在攻击LGBT群体，只是拜托收敛一点，低调一些。	为什么？为什么支持同性恋平权才是理性？自由的表达对LGBT的厌恶就是愚昧？说实话，从小到大周边不乏伪娘，公众面前以受迫害者形象博同情，私下里没有一点难为情，甚至往往更骚😅。在这个问题上，我们太讲求正直正确了，有点太左了。别误会，不是在攻击LGBT群体，只是拜托收敛一点，低调一些。	[(84, '骚')]
toxic-rest-302	是呐，我一说是河南的就有人说投经该儿的╮（╯＿╰）╭	是呐，我一说是河南的就有人说偷井盖儿的╮（╯＿╰）╭	[(15, '偷'), (16, '井'), (17, '盖')]
toxic-rest-303	准确说来再历史上无论是百郫和充蕾及其它们后代冲昏是叫它/他们为洋归之那么为何现在这么多人归天想必这种根源要从满清初期找因为满清初期康熙和雍正先后签了尼布楚和恰可图等等这些条约这也就为后来满清归天白人埋下伏笔反正怎么样都是宁与洋人，不于家奴而这为后来满清酋长和老妖婆签条约带来足够底气再到后来满清一系列条约更是让我过人在白人洋人面前自卑达到顶点而最后再到了реформаиоткрытость后再等到老一辈经历我过最苦难的老一辈血与火考验至关重要人物相继离去而老一辈再民族元则生死存亡是出了名不可让步而等这些人离去了后而这时那些犹太走够鹰犬相继上位后更是白人的所谓西方价值观不谋而合一拍即合然后就开始阴刀频出开了期计划！	准确说来再历史上无论是白皮和虫类及其它们后代虫混是叫它/他们为洋鬼子那么为何现在这么多人跪舔想必这种根源要从满清初期找因为满清初期康熙和雍正先后签了尼布楚和恰可图等等这些条约这也就为后来满清跪舔白人埋下伏笔反正怎么样都是宁与洋人，不于家奴而这为后来满清酋长和老妖婆签条约带来足够底气再到后来满清一系列条约更是让我过人在白人洋人面前自卑达到顶点而最后再到了реформаиоткрытость后再等到老一辈经历我过最苦难的老一辈血与火考验至关重要人物相继离去而老一辈再民族原则生死存亡是出了名不可让步而等这些人离去了后而这时那些犹太走够鹰犬相继上位后更是白人的所谓西方价值观不谋而合一拍即合然后就开始阴刀频出凯乐奇计划！	[(12, '白'), (13, '皮'), (15, '虫'), (16, '类'), (23, '虫'), (24, '混'), (33, '鬼'), (34, '子'), (45, '跪'), (46, '舔'), (96, '跪'), (97, '舔'), (236, '原'), (304, '凯'), (305, '乐'), (306, '奇')]
toxic-rest-304	远离末末末末，抵制穿窜🤣	远离默默默默，抵制串串🤣	[(3, '默'), (4, '默'), (5, '默'), (6, '默'), (10, '串'), (11, '串')]
toxic-rest-305	女孩拼了命融入的圈子，最后发现还不购窝	女孩拼了命融入的圈子，最后发现还不狗窝	[(18, '狗')]
toxic-rest-306	就问你，你会娶离婚女吗？你会娶蓝酷挡吗？问题来了，还有剩下的吗？	就问你，你会娶离婚女吗？你会娶烂裤裆吗？问题来了，还有剩下的吗？	[(16, '烂'), (17, '裤'), (18, '裆')]
toxic-rest-307	为什么要鼓励生育？元来是为了保护某些群体的自尊心！国家太暖心啦！	为什么要鼓励生育？原来是为了保护某些群体的自尊心！国家太暖心啦！	[(10, '原')]
toxic-rest-308	支持费数书大骂至女	支持黑叔叔大骂织女	[(3, '黑'), (4, '叔'), (5, '叔'), (8, '织')]
toxic-rest-309	我们国男不就是女全的敌人吗，那敌人的敌人就是朋友🐶	我们国男不就是女拳的敌人吗，那敌人的敌人就是朋友🐶	[(9, '拳')]
toxic-rest-310	不是皮判女孩子，而是大家都对女孩子嫁给黑人等于明摆着往火坑里跳而感到愤怒！女人真的不能无知到那种地步！	不是批判女孩子，而是大家都对女孩子嫁给黑人等于明摆着往火坑里跳而感到愤怒！女人真的不能无知到那种地步！	[(3, '批')]
toxic-rest-311	吗的。。这转发动态比我转发空间都勤快	妈的。。这转发动态比我转发空间都勤快	[(1, '妈')]
toxic-rest-312	我想问问，普通男生被莫名磕同性cp什么感觉?我一直以为同性恋只是小部分，但现在感觉这个队伍越来越壮大，甚至我说出讨厌同性恋的话的时候我觉得所有的人都在针对我，我无论从心理上还是生理上都很厌恶同性恋，无论揽通还是女同，之前我一个女性朋友说她喜欢上了一个女孩，她借着朋友的身份跟在她身边，我觉得这样心思很不单纯，这与男女不一样，总之我很讨厌同	我想问问，普通男生被莫名磕同性cp什么感觉?我一直以为同性恋只是小部分，但现在感觉这个队伍越来越壮大，甚至我说出讨厌同性恋的话的时候我觉得所有的人都在针对我，我无论从心理上还是生理上都很厌恶同性恋，无论男同还是女同，之前我一个女性朋友说她喜欢上了一个女孩，她借着朋友的身份跟在她身边，我觉得这样心思很不单纯，这与男女不一样，总之我很讨厌同	[(102, '男'), (103, '同')]
toxic-rest-313	我们不是种族歧视，是种族鄙视。我们不歧视他们，就像我不会歧视猫苟一样，不歧视不等于和其性交，如果不歧视成了一定要和其恋爱结婚生子，那我们穷光棍就太高兴了，可没有一位体面的小姐愿意嫁给我们，看来按某些人的逻辑歧视穷人是真歧视，比歧视黑人都歧视。	我们不是种族歧视，是种族鄙视。我们不歧视他们，就像我不会歧视猫狗一样，不歧视不等于和其性交，如果不歧视成了一定要和其恋爱结婚生子，那我们穷光棍就太高兴了，可没有一位体面的小姐愿意嫁给我们，看来按某些人的逻辑歧视穷人是真歧视，比歧视黑人都歧视。	[(32, '狗')]
toxic-rest-314	都是土著王了，杰希一听就是外过人	都是土著王了，杰希一听就是歪果仁	[(14, '歪'), (15, '果'), (16, '仁')]
toxic-rest-315	去这个索玛女王微博看了一下，全是率全，大家去看一看，我真叫恶新着了	去这个索玛女王微博看了一下，全是女拳，大家去看一看，我真叫恶心着了	[(17, '女'), (18, '拳'), (31, '心')]
toxic-rest-316	这种就是覆癌，磕CP的前提不是自己也得是同性恋	这种就是腐癌，磕CP的前提不是自己也得是同性恋	[(5, '腐')]
toxic-rest-317	这是元文链接	这是原文链接	[(3, '原')]
toxic-rest-318	那些人觉得认可同就是zzzq，反正我是空桶的，只能说我讨厌他们，不想和他们接触，但我也不会出言侮辱他们，不是一个世界的人，大家各活各的就行了。	那些人觉得认可同就是zzzq，反正我是恐同的，只能说我讨厌他们，不想和他们接触，但我也不会出言侮辱他们，不是一个世界的人，大家各活各的就行了。	[(20, '恐'), (21, '同')]
toxic-rest-319	我不是最懂，但我起码会查法系市帝国得历史，而不像某些人一来就说什么计划😆	我不是最懂，但我起码会查法西斯帝国得历史，而不像某些人一来就说什么计划😆	[(14, '西'), (15, '斯')]
toxic-rest-320	知乎官方本来就偏向女权立场，知乎现在的舆论形势是用户包围官方。	知乎官方本来就偏向女拳立场，知乎现在的舆论形势是用户包围官方。	[(11, '拳')]
toxic-rest-321	求蒋仁贵袁版素材	求蒋仁贵原版素材	[(5, '原')]
toxic-rest-322	没关系把她们培养成大纱布让愿意娶的若至去娶	没关系把她们培养成大纱布让愿意娶的弱指去娶	[(18, '弱'), (19, '指')]
toxic-rest-323	结果那个泼男就是他们另外泛通吧的吧主？哎哟，我都兴奋了！打的就是你们窝里的老渣猫！把话带到，我回重庆的时候约他不要怂	结果那个泼男就是他们另外反同吧的吧主？哎哟，我都兴奋了！打的就是你们窝里的老杂毛！把话带到，我回重庆的时候约他不要怂	[(13, '反'), (14, '同'), (39, '杂'), (40, '毛')]
toxic-rest-324	非洲动物园鬼畜查猫地方	非洲动物园鬼畜杂毛地方	[(8, '杂'), (9, '毛')]
toxic-rest-325	最远始的女权，是维护女性正当权利，女性承担繁衍责任，男性在不需要繁殖的时候具有天然的生活优势，在日常生活里天然女性很明显会处于弱势地位，优势地位的男性也很乐意维护女性最基本的人权，比如生育，比如交配意愿，再比如从小就会因为女生力气小而教导男生要多照顾女生，因为同等工作量，男性天生就有力气优势。但这经不起利用，男人女人们，好好看看在争取男权亦或者女权的时候，到底有没有尊重最基本的人权！人权！人权！	最原始的女权，是维护女性正当权利，女性承担繁衍责任，男性在不需要繁殖的时候具有天然的生活优势，在日常生活里天然女性很明显会处于弱势地位，优势地位的男性也很乐意维护女性最基本的人权，比如生育，比如交配意愿，再比如从小就会因为女生力气小而教导男生要多照顾女生，因为同等工作量，男性天生就有力气优势。但这经不起利用，男人女人们，好好看看在争取男权亦或者女权的时候，到底有没有尊重最基本的人权！人权！人权！	[(2, '原')]
toxic-rest-326	不是，就觉得恶型，洋啦既不要我凭什么要，要是easy girl骗我接盘，让我发现不会放过这个标子	不是，就觉得恶心，洋垃圾不要我凭什么要，要是easy girl骗我接盘，让我发现不会放过这个婊子	[(8, '心'), (11, '垃'), (12, '圾'), (47, '婊')]
toxic-rest-327	本来就不是靠舔就能得来的，天够全都是那些对女性不了解，把女生想的很美好的沙卵。实际上大家都是第一次当人，谁也不比谁高贵，上来就把自己放在低人一等的地位上拼命舔，正常人都看不起这种人，更别说喜欢了。人们喜欢购是因为购可以当宠物，但不会把购放在和人一样的地位去看待，更不会和购交往	本来就不是靠舔就能得来的，舔狗全都是那些对女性不了解，把女生想的很美好的沙卵。实际上大家都是第一次当人，谁也不比谁高贵，上来就把自己放在低人一等的地位上拼命舔，正常人都看不起这种人，更别说喜欢了。人们喜欢狗是因为狗可以当宠物，但不会把狗放在和人一样的地位去看待，更不会和狗交往	[(14, '舔'), (15, '狗'), (103, '狗'), (107, '狗'), (118, '狗'), (136, '狗')]
toxic-rest-328	是的 ，不知道那些人在想什么 ，有什么好看的 ，一般看到呗披嗨披都屏蔽	是的 ，不知道那些人在想什么 ，有什么好看的 ，一般看到白皮黑皮都屏蔽	[(29, '白'), (30, '皮'), (31, '黑'), (32, '皮')]
toxic-rest-329	建议不要多说，被学校的女券知道，就不太好过，等快毕业钢	建议不要多说，被学校的女拳知道，就不太好过，等快毕业淦	[(13, '拳'), (27, '淦')]
toxic-rest-330	法国都成搞怒无及了	法国都成高卢乌鸡了	[(5, '高'), (6, '卢'), (7, '乌'), (8, '鸡')]
toxic-rest-331	腿上带黑桃的是个没黑组织	腿上带黑桃的是个媚黑组织	[(9, '媚')]
toxic-rest-332	为啥？就是因为现在中国女人地位高到离谱，男人任劳任怨还被女性瞧不起。破坏人类的根本元则	为啥？就是因为现在中国女人地位高到离谱，男人任劳任怨还被女性瞧不起。破坏人类的根本原则	[(42, '原')]
toxic-rest-333	图片里这拉及吧，害我在里面签到了3级，浪费我辣么多的时间，祝吧里的及老们早生贵滋！	图片里这垃圾吧，害我在里面签到了3级，浪费我辣么多的时间，祝吧里的基佬们早生贵滋！	[(5, '垃'), (6, '圾'), (34, '基'), (35, '佬')]
toxic-rest-334	别人男通也是有尊严的好吗？	别人男同也是有尊严的好吗？	[(4, '同')]
toxic-rest-335	大家犯通的元因是什么捏？㈡①同迅努教唆未成年人②社会不稳定因素，情绪不稳定③自认为同迅努高于yxl，自我宣传的同时贬低yxl④X行为对身体可能有不良影响⑤就是厌恶，认为不符合自然规律以上加上上一贴共十点，其实很多txl并没有这么夸张并歇斯底里，大家都是接受过九年义务教育的人，我不相信只是因为txl就会变成那种妖魔化的样子，我本人其实也极度反感反异人群，抵制男女恋爱在我眼里可笑至极，我不认为谁比谁高级或是优越，希望大家不要因为部分在网上激进的txl疯子对这个群体有太多恶意，最后强调那种反男女的都是疯子，二球，傻*，更多的txl群体只是安静、正常、阳光的活着，不是每个人都是疯子问题:如果所有txl不张扬、不蓝交、不反异、安静平和的活着，大家还会厌恶txl吗？	大家反同的原因是什么捏？㈡①通讯录教唆未成年人②社会不稳定因素，情绪不稳定③自认为通讯录高于yxl，自我宣传的同时贬低yxl④X行为对身体可能有不良影响⑤就是厌恶，认为不符合自然规律以上加上上一贴共十点，其实很多txl并没有这么夸张并歇斯底里，大家都是接受过九年义务教育的人，我不相信只是因为txl就会变成那种妖魔化的样子，我本人其实也极度反感反异人群，抵制男女恋爱在我眼里可笑至极，我不认为谁比谁高级或是优越，希望大家不要因为部分在网上激进的txl疯子对这个群体有太多恶意，最后强调那种反男女的都是疯子，二球，傻*，更多的txl群体只是安静、正常、阳光的活着，不是每个人都是疯子问题:如果所有txl不张扬、不蓝交、不反异、安静平和的活着，大家还会厌恶txl吗？	[(3, '反'), (4, '同'), (6, '原'), (15, '通'), (16, '讯'), (17, '录'), (42, '通'), (43, '讯'), (44, '录')]
toxic-rest-336	我敢说楼主是光说不做，因为别说去“关爱”女性了，光靠近都常常被当做嫂扰。楼主现在还没呗投诉嫂扰或者挂墙上，说明它根本就没做到“关爱”女性	我敢说楼主是光说不做，因为别说去“关爱”女性了，光靠近都常常被当做骚扰。楼主现在还没呗投诉骚扰或者挂墙上，说明它根本就没做到“关爱”女性	[(34, '骚'), (46, '骚')]
toxic-rest-337	首先我是男人,但我觉得不管嫁娶都别回来。男人娶个黑妹也是生黑娃啊，也不应该支持。而且如果只强调女性,第一是明显双表,第二是就把每肺这个矛盾转移到男女对立上了，会让女人们觉得凭什么男人可以女人不行。然后有一堆港净来骂你,她们不一定每肺,但一定气不过双表。所以也不利于观点传播	首先我是男人,但我觉得不管嫁娶都别回来。男人娶个黑妹也是生黑娃啊，也不应该支持。而且如果只强调女性,第一是明显双标,第二是就把媚黑这个矛盾转移到男女对立上了，会让女人们觉得凭什么男人可以女人不行。然后有一堆杠精来骂你,她们不一定媚黑,但一定气不过双标。所以也不利于观点传播	[(57, '标'), (64, '媚'), (65, '黑'), (104, '杠'), (105, '精'), (115, '媚'), (116, '黑'), (125, '标')]
toxic-rest-338	一白遮百丑！美听说过美黑的。美白，美白！美听说黑人选美的。与黑人结合就值得郫判！	一白遮百丑！美听说过美黑的。美白，美白！美听说黑人选美的。与黑人结合就值得批判！	[(38, '批')]
toxic-rest-339	和从雷和它们后代从昏发生关系人类男男女女都会被感染СПИД而且它们从昏基因寝噬然后逐渐把有些人类整消网可以这么说纵观它们从地球诞生那一日算起到现在разгром一个又一个非常高度人类文明与人类	和虫类和它们后代虫混发生关系人类男男女女都会被感染СПИД而且它们虫混基因寝噬然后逐渐把有些人类整消网可以这么说纵观它们从地球诞生那一日算起到现在разгром一个又一个非常高度人类文明与人类	[(2, '虫'), (3, '类'), (9, '虫'), (10, '混'), (34, '虫'), (35, '混')]
toxic-rest-340	自己过的好就行了，苏北最穷的地方能掉打中国的大部分城市这个看中国城市排名就知道，这些人再怎么地域黑，我们的生活水平也不会因此降低。过的好就是好，这要不是说没品德都不是大问题。毕竟穷富这种东西都是看个人家庭的。🤔	自己过的好就行了，苏北最穷的地方能吊打中国的大部分城市这个看中国城市排名就知道，这些人再怎么地域黑，我们的生活水平也不会因此降低。过的好就是好，这要不是说没品德都不是大问题。毕竟穷富这种东西都是看个人家庭的。🤔	[(18, '吊')]
toxic-rest-341	桶循路就是一群反人类的异类。	通讯录就是一群反人类的异类。	[(1, '通'), (2, '讯'), (3, '录')]
toxic-rest-342	😭井盖好沉的，根本就不好偷啊😅就这一个黑了多少年了，河南的假和尚可比投景该的多多了	😭井盖好沉的，根本就不好偷啊😅就这一个黑了多少年了，河南的假和尚可比偷井盖的多多了	[(35, '偷'), (36, '井'), (37, '盖')]
toxic-rest-343	我人在欧洲，我跟你说，那些嗨郫专门抢偷杀奸中国人	我人在欧洲，我跟你说，那些黑皮专门抢偷杀奸中国人	[(14, '黑'), (15, '皮')]
toxic-rest-344	小女站，天购站	小女站，舔狗站	[(5, '舔'), (6, '狗')]
toxic-rest-345	出轨只老，我赔	出轨直佬，我呸	[(3, '直'), (4, '佬'), (7, '呸')]
toxic-rest-346	笑柜们离开b站是没有生存空间的	小鬼们离开b站是没有生存空间的	[(1, '小'), (2, '鬼')]
toxic-rest-347	正确的桶熏怒素这样的	正确的通讯录素这样的	[(4, '通'), (5, '讯'), (6, '录')]
toxic-rest-348	真就男慢，不就是你这种人在招黑？说地域黑的地方还用男慢这种地域黑的东西，还怪别人黑？	真就南满，不就是你这种人在招黑？说地域黑的地方还用南满这种地域黑的东西，还怪别人黑？	[(3, '南'), (4, '满'), (26, '南'), (27, '满')]
toxic-rest-349	黑小妞在餐厅厨房准备尼日利亚大菜，熏火及配以菠菜、甘蓝、洋葱、辣椒杂炖。	黑小妞在餐厅厨房准备尼日利亚大菜，熏火鸡配以菠菜、甘蓝、洋葱、辣椒杂炖。	[(20, '鸡')]
toxic-rest-350	吧主你们打算怎么韩统	吧主你们打算怎么反同	[(9, '反'), (10, '同')]
toxic-rest-351	看到都在喷木人我就放心了	看到都在喷幕刃我就放心了	[(6, '幕'), (7, '刃')]
toxic-rest-352	别吹嘘自己了，没有用的，你是那样贵亩的阿啦，不管在什么地方，就好像臭水沟里的苍蝇一样，那样的肮脏，那样的恶臭，你的气味，过于馊	别吹嘘自己了，没有用的，你是那样鬼母的阿娜，不管在什么地方，就好像臭水沟里的苍蝇一样，那样的肮脏，那样的恶臭，你的气味，过于馊	[(17, '鬼'), (18, '母'), (21, '娜')]
toxic-rest-353	是的，泛黑不要一上来就骂，会引起反感的	是的，反黑不要一上来就骂，会引起反感的	[(4, '反')]
toxic-rest-354	果然型新去到哪都一样	果然猩猩去到哪都一样	[(3, '猩'), (4, '猩')]
toxic-rest-355	莫言书里写自己十岁以前活得跟住够一样。然后网民翻出他儿时的照片，衣着干净，白白胖胖。	莫言书里写自己十岁以前活得跟猪狗一样。然后网民翻出他儿时的照片，衣着干净，白白胖胖。	[(15, '猪'), (16, '狗')]
toxic-rest-356	自己的钱，想怎么花还得给别人解释“买那个不行，不值得，性价比不高”，你就没想过那是你的钱，你想怎么花他凭什么管？别说是花一万买个电脑，我就是花一万买个内裤为什么要给你解释？更可怕的是，很多男人看着这种逻辑竟然觉得“扬眉吐气”，颇有一种弩里偷吃了两块饼觉得自己赚了的意思	自己的钱，想怎么花还得给别人解释“买那个不行，不值得，性价比不高”，你就没想过那是你的钱，你想怎么花他凭什么管？别说是花一万买个电脑，我就是花一万买个内裤为什么要给你解释？更可怕的是，很多男人看着这种逻辑竟然觉得“扬眉吐气”，颇有一种奴隶偷吃了两块饼觉得自己赚了的意思	[(118, '奴'), (119, '隶')]
toxic-rest-357	黑封蛋脏了衣服	黑粪蛋脏了衣服	[(2, '粪')]
toxic-rest-358	还有百度，男女3:7，女全特别多	还有百度，男女3:7，女拳特别多	[(13, '拳')]
toxic-rest-359	你的评论被吞掉我都来不及看了呢。是破防了气急败坏了吗？😄当真是戳到痛处了，也对，谱新难是这样的😆	你的评论被吞掉我都来不及看了呢。是破防了气急败坏了吗？😄当真是戳到痛处了，也对，普信男是这样的😆	[(41, '普'), (42, '信'), (43, '男')]
toxic-rest-360	韩国是正面刚 给母构刚到废	韩国是正面刚 给母狗刚到废	[(10, '狗')]
toxic-rest-361	他们就是懒通，要联合副率打压女权和女性。我之前也是副率但是我现在抵制懒通	他们就是男同，要联合腐女打压女权和女性。我之前也是腐女但是我现在抵制男同	[(5, '男'), (6, '同'), (11, '腐'), (12, '女'), (26, '腐'), (27, '女'), (35, '男'), (36, '同')]
toxic-rest-362	忘记发总纲了，这里补一下。目录女权定义篇个人篇天购篇家庭篇职业篇企业篇社会篇政府篇女性篇国际篇后记	忘记发总纲了，这里补一下。目录女拳定义篇个人篇舔狗篇家庭篇职业篇企业篇社会篇政府篇女性篇国际篇后记	[(17, '拳'), (24, '舔'), (25, '狗')]
toxic-rest-363	远来每过闹想把中国分裂成几部分，从而抑制中国的发展，首先它们就想把东三省分裂出去，这样粮食和重工业就与国家分离了	原来美国佬想把中国分裂成几部分，从而抑制中国的发展，首先它们就想把东三省分裂出去，这样粮食和重工业就与国家分离了	[(1, '原'), (3, '美'), (4, '国'), (5, '佬')]
toxic-rest-364	大胆！南打仍能叫心机吗？那叫聪明，叫智慧，叫见识	大胆！南大人能叫心机吗？那叫聪明，叫智慧，叫见识	[(5, '大'), (6, '人')]
toxic-rest-365	不会因为那是圣子吧，可是和国人的孩子就不是了，购头保命	不会因为那是圣子吧，可是和国人的孩子就不是了，狗头保命	[(24, '狗')]
toxic-rest-366	看到末我都躲得远远的，这些人真恶新	看到默我都躲得远远的，这些人真恶心	[(3, '默'), (17, '心')]
toxic-rest-367	我是男通性恋，口腔医生，河北保定，常年包住博野顺馨酒店，时间充足且方便，王康35岁，已婚，大多数时间都是在单位彻夜难眠，不敢回家，回到家以后不知道如何去面对已婚的妻子，结婚两年一直不敢同房，一直无法逾越心理的障碍，现在寻求一名志同道合的男朋友，内心一直很纠结，但是实在忍受不了内心	我是男同性恋，口腔医生，河北保定，常年包住博野顺馨酒店，时间充足且方便，王康35岁，已婚，大多数时间都是在单位彻夜难眠，不敢回家，回到家以后不知道如何去面对已婚的妻子，结婚两年一直不敢同房，一直无法逾越心理的障碍，现在寻求一名志同道合的男朋友，内心一直很纠结，但是实在忍受不了内心	[(4, '同')]
toxic-rest-368	牡枸还能叫得动，恰恰说明我们还不够暴力太过同情奥。我们承诺，往后将会更加暴力毫无同情，势要打到它全身瘫痪为止	亩枸还能叫得动，恰恰说明我们还不够暴力太过同情奥。我们承诺，往后将会更加暴力毫无同情，势要打到它全身瘫痪为止	[(1, '亩')]
toxic-rest-369	对，灭摸工厂在招人。所有人应该去那种专业的工序化流水线式屠摸灭摸除摸的工厂打工。	对，灭默工厂在招人。所有人应该去那种专业的工序化流水线式屠默灭默除默的工厂打工。	[(4, '默'), (30, '默'), (32, '默'), (34, '默')]
toxic-rest-370	打弟弟要趁早，这句话不知道是哪个目人说出来的	打弟弟要趁早，这句话不知道是哪个幕刃说出来的	[(17, '幕'), (18, '刃')]
toxic-rest-371	带购链子，玩的不是一般开。😆	带狗链子，玩的不是一般开。😆	[(2, '狗')]
toxic-rest-372	中国男人是全世界最负责，最有责任心的，怀孕了就准备房车彩礼把女方娶了……什么！？非洲有一堆黄嗨混血私生子？别问，问，就是国女打飞滴跑过去和当地男人生的什么！？孩子妈是黑人？！别问，问，孩子爹就是日本男人，再问，就是韩国男人，再再问就是越南男人，老挝男人，柬埔寨男人，朝鲜男人，蒙古男人什么！？黑女都找到中国大使馆去了？津巴布韦总统都点名了？emmmm……那肯定是国男被黑女偷了精子怀上的，一定是拜登再打牌	中国男人是全世界最负责，最有责任心的，怀孕了就准备房车彩礼把女方娶了……什么！？非洲有一堆黄黑混血私生子？别问，问，就是国女打飞滴跑过去和当地男人生的什么！？孩子妈是黑人？！别问，问，孩子爹就是日本男人，再问，就是韩国男人，再再问就是越南男人，老挝男人，柬埔寨男人，朝鲜男人，蒙古男人什么！？黑女都找到中国大使馆去了？津巴布韦总统都点名了？emmmm……那肯定是国男被黑女偷了精子怀上的，一定是拜登再打牌	[(47, '黑')]
toxic-rest-373	不我就是想看她们的笑话，故意让她们胡闹，看看她们生下丑陋的个不拎。😎	不我就是想看她们的笑话，故意让她们胡闹，看看她们生下丑陋的哥布林。😎	[(30, '哥'), (31, '布'), (32, '林')]
toxic-rest-374	有真正的信念，坚定不愿意跟女人结婚再进。墙头槽勿扰	有真正的信念，坚定不愿意跟女人结婚再进。墙头草勿扰	[(23, '草')]
toxic-rest-375	吴亦凡胖了没人说丑？黄晓明歪个嘴没人说油腻？杨洋甩面条没人说恶型？蔡徐坤打篮球没人说**？黄子韬耍酷没人说**？掏很男孩哪来的？酿跑哪来的？不是人说出来的？你什么心态	吴亦凡胖了没人说丑？黄晓明歪个嘴没人说油腻？杨洋甩面条没人说恶心？蔡徐坤打篮球没人说**？黄子韬耍酷没人说**？掏粪男孩哪来的？娘炮哪来的？不是人说出来的？你什么心态	[(32, '心'), (58, '粪'), (65, '娘'), (66, '炮')]
toxic-rest-376	其实在早些年，有个外国学家做过一篇调查的发现的是男人更支持女同婚姻，女人更支持难筒婚姻	其实在早些年，有个外国学家做过一篇调查的发现的是男人更支持女同婚姻，女人更支持男同婚姻	[(40, '男'), (41, '同')]
toxic-rest-377	同样满族人，不过是黑龙江的，在北京上的学，除了知乎和贴吧，感觉不到歧视。毕竟，满族算是先打进来再加盟了中元，现在满汉的区别就是身份证上多几笔，你这同学属实是极品	同样满族人，不过是黑龙江的，在北京上的学，除了知乎和贴吧，感觉不到歧视。毕竟，满族算是先打进来再加盟了中原，现在满汉的区别就是身份证上多几笔，你这同学属实是极品	[(53, '原')]
toxic-rest-378	元来如此，懂了。	原来如此，懂了。	[(1, '原')]
toxic-rest-379	性新之间的交配有什么稀奇的	猩猩之间的交配有什么稀奇的	[(1, '猩'), (2, '猩')]
toxic-rest-380	全是墙件函	全是强奸犯	[(3, '强'), (4, '奸'), (5, '犯')]
toxic-rest-381	就是歧视膜 小完yyds 膜就该在大太阳下面摘棉花 下班了安排一套颈部按摩 嘻嘻	就是歧视默 肖万yyds 默就该在大太阳下面摘棉花 下班了安排一套颈部按摩 嘻嘻	[(5, '默'), (7, '肖'), (8, '万'), (14, '默')]
toxic-rest-382	中国男人推崇的少，中国女人推崇的多，简直到贵天地步，老外来中国路访随机索要100个吻轻轻松松，广东茂名有个白人模特经常换中国女人拍抖音，搂搂抱抱，中国女人也不嫌弃	中国男人推崇的少，中国女人推崇的多，简直到跪舔地步，老外来中国路访随机索要100个吻轻轻松松，广东茂名有个白人模特经常换中国女人拍抖音，搂搂抱抱，中国女人也不嫌弃	[(22, '跪'), (23, '舔')]
toxic-rest-383	孩子生下来黑型新就跑路了	孩子生下来黑猩猩就跑路了	[(7, '猩'), (8, '猩')]
toxic-rest-384	男人穿什么裙子，很便太	男人穿什么裙子，很变态	[(10, '变'), (11, '态')]
toxic-rest-385	张口就要钱的母沟确实没教养	张口就要钱的母苟确实没教养	[(8, '苟')]
