CHSD-0	这男的这么拉级都能和好	这男的这么垃圾都能和好	[(6, '垃'), (7, '圾')]
CHSD-969	以前我也这么觉得，但最近几年我国在百米中突破性的成绩让我觉得之前那些观念是错误的。 我们真正用现代化的方法训练短跑也没多长时间，就取得这样的成绩，黄中任显然潜力巨大。	以前我也这么觉得，但最近几年我国在百米中突破性的成绩让我觉得之前那些观念是错误的。 我们真正用现代化的方法训练短跑也没多长时间，就取得这样的成绩，黄种人显然潜力巨大。	[(75, '种'), (76, '人')]
CHSD-970	要抵制就都抵制，说黑任在中国高人一等，难道百人没有吗~同是慌总任，那些懂难鸭杨打人在中国也是高人一等，杀人枪间这些重罪都好像大事化小一样。说这些杨打人是这样，少民也差不多，	要抵制就都抵制，说黑人在中国高人一等，难道白人没有吗~同是黄种人，那些东南亚洋大人在中国也是高人一等，杀人强奸这些重罪都好像大事化小一样。说这些洋大人是这样，少民也差不多，	[(11, '人'), (22, '白'), (30, '黄'), (31, '种'), (32, '人'), (36, '东'), (37, '南'), (38, '亚'), (39, '洋'), (40, '大'), (54, '强'), (55, '奸'), (73, '洋'), (74, '大')]
CHSD-971	公家设立学堂，是为天下储人才，非为诸生谋进取；诸生来堂肄业,是为国家图富强,非为一己利身家。 《珊冬大学堂章程》 希望一些有偏见的知友能来山大走走看看，多了解一下实情。 但是，山里是真的苦。。	公家设立学堂，是为天下储人才，非为诸生谋进取；诸生来堂肄业,是为国家图富强,非为一己利身家。 《山东大学堂章程》 希望一些有偏见的知友能来山大走走看看，多了解一下实情。 但是，山里是真的苦。。	[(49, '山'), (50, '东')]
CHSD-972	美国人就和他聊911，黑仍就和他聊怎么种棉花当路李，日泵人就一起聊聊核弹. 游戏里这种人见多了，不用讲道理，就恶新他就行.	美国人就和他聊911，黑人就和他聊怎么种棉花当奴隶，日本人就一起聊聊核弹. 游戏里这种人见多了，不用讲道理，就恶心他就行.	[(13, '人'), (24, '奴'), (25, '隶'), (28, '本'), (57, '心')]
CHSD-973	不是有很多地方“不敢得罪非人”这种政治正确嘛，歧视和黑名贵应该是同时存在的吧	不是有很多地方“不敢得罪黑人”这种政治正确嘛，歧视和黑命贵应该是同时存在的吧	[(13, '黑'), (28, '命')]
CHSD-974	出轨的女人是我见过最恶新的东西。	出轨的女人是我见过最恶心的东西。	[(12, '心')]
CHSD-975	不是外国人中主其是，是嗨仍或该。他们这些洋哪及在中国犯下的各种恶新事还少吗？还TM好吃懒做，穷是有元因的！！！！对嗨仍没好感。	不是外国人种族歧视，是黑人活该。他们这些洋垃圾在中国犯下的各种恶心事还少吗？还TM好吃懒做，穷是有原因的！！！！对黑人没好感。	[(6, '种'), (7, '族'), (8, '歧'), (9, '视'), (12, '黑'), (13, '人'), (14, '活'), (22, '垃'), (23, '圾'), (33, '心'), (50, '原'), (58, '黑'), (59, '人')]
CHSD-976	其实个人感觉低价快餐的话反而是比国内丰富的。。。。印度菜泰国菜莫西哥菜 费任的 soul food还有我最喜欢的瑞典的酒酸奶。国内的话只要烧烤和火锅。。。	其实个人感觉低价快餐的话反而是比国内丰富的。。。。印度菜泰国菜墨西哥菜 黑人的 soul food还有我最喜欢的瑞典的酒酸奶。国内的话只要烧烤和火锅。。。	[(32, '墨'), (37, '黑'), (38, '人')]
CHSD-977	嗨闽贵，零元购是反对中住其是么？	黑命贵，零元购是反对种族歧视么？	[(1, '黑'), (2, '命'), (11, '种'), (12, '族'), (13, '歧'), (14, '视')]
CHSD-978	这个手分的很好啊~！我也渣男刚分手 宝宝要去习仓野去~变成嗨仍再回来~	这个手分的很好啊~！我也渣男刚分手 宝宝要去西藏野去~变成黑人再回来~	[(23, '西'), (24, '藏'), (30, '黑'), (31, '人')]
CHSD-979	不同意答主的看法，说一个率任毁了6代皇帝，那6代难仍都是非无吗？6朝的臣子都是非无吗？难仍不行还要怪率任	不同意答主的看法，说一个女人毁了6代皇帝，那6代男人都是废物吗？6朝的臣子都是废物吗？男人不行还要怪女人	[(13, '女'), (14, '人'), (25, '男'), (26, '人'), (29, '废'), (30, '物'), (40, '废'), (41, '物'), (44, '男'), (45, '人'), (51, '女'), (52, '人')]
CHSD-980	中朱其是的追跑开得挺欢，实际上嘛…	种族歧视的嘴炮开得挺欢，实际上嘛…	[(1, '种'), (2, '族'), (3, '歧'), (4, '视'), (6, '嘴'), (7, '炮')]
CHSD-981	我觉得美国普通人歧视嗨任的元因应该是，嗨任作为一个群体来说，穷人好扎堆，而且嗨任文化狂躁，导致有些嗨任即得不到好的教育，又在一起生活、接触，各种不良风气就像是在发酵炉里发酵，愈演愈烈，	我觉得美国普通人歧视黑人的原因应该是，黑人作为一个群体来说，穷人好扎堆，而且黑人文化狂躁，导致有些黑人即得不到好的教育，又在一起生活、接触，各种不良风气就像是在发酵炉里发酵，愈演愈烈，	[(11, '黑'), (12, '人'), (14, '原'), (20, '黑'), (21, '人'), (39, '黑'), (40, '人'), (50, '黑'), (51, '人')]
CHSD-982	王朔的我是你把把看得我一个十八岁的花季少女共鸣感无敌强烈.....怎么回事？	王朔的我是你爸爸看得我一个十八岁的花季少女共鸣感无敌强烈.....怎么回事？	[(7, '爸'), (8, '爸')]
CHSD-983	知道男女主要双修我就弃剧了，太恶性了。	知道男女主要双修我就弃剧了，太恶心了。	[(17, '心')]
CHSD-984	龙女的嚣张气焰就是这个黑两们助长的	龙女的嚣张气焰就是这个黑娘们助长的	[(13, '娘')]
CHSD-985	嗨人还是可以正常使用Face ID的[捂脸]元深感摄像头会通过投射并分析 30,000 多个不可见的点来捕获准确的面部数据，进而创建您面部的深度图；另外它还会捕获您面部的红外图像。敷上泥膜之后就无法捕获面部数据啦	黑人还是可以正常使用Face ID的[捂脸]原深感摄像头会通过投射并分析 30,000 多个不可见的点来捕获准确的面部数据，进而创建您面部的深度图；另外它还会捕获您面部的红外图像。敷上泥膜之后就无法捕获面部数据啦	[(1, '黑'), (23, '原')]
CHSD-986	国际象棋，你特么为什么白棋先走，这是对我们嘿任的巨大不公平！	国际象棋，你特么为什么白棋先走，这是对我们黑人的巨大不公平！	[(22, '黑'), (23, '人')]
CHSD-987	向刚人好团结，有血性。如果这件事发生在内低的地铁上，求这几个因赌任挨打的几率？	香港人好团结，有血性。如果这件事发生在内地的地铁上，求这几个印度人挨打的几率？	[(1, '香'), (2, '港'), (21, '地'), (31, '印'), (32, '度'), (33, '人')]
CHSD-988	日本社会压抑，有个援因是日本人很在意周围人的看法，所以不少人因为工作学习受挫，对人际交往绝望，不再上学上班。	日本社会压抑，有个原因是日本人很在意周围人的看法，所以不少人因为工作学习受挫，对人际交往绝望，不再上学上班。	[(10, '原')]
CHSD-989	哈麻啤，你也可以用于开玩笑的时候骂人啊，又不是总是用于吵架，最好是加上老子，中请人日常说话那种喜欢带脏字。就算，说哈麻啤嫌语气重了，也可以说哈啤啊。	哈麻批，你也可以用于开玩笑的时候骂人啊，又不是总是用于吵架，最好是加上老子，重庆人日常说话那种喜欢带脏字。就算，说哈麻批嫌语气重了，也可以说哈批啊。	[(3, '批'), (39, '重'), (40, '庆'), (60, '批'), (72, '批')]
CHSD-990	印度抢间频发，难道是因为印度女人穿的暴露吗？当穿着保守成为主流，激起南任性欲的标准也降低了，个人道德问题而已，别疑帮自达斯	印度强奸频发，难道是因为印度女人穿的暴露吗？当穿着保守成为主流，激起男人性欲的标准也降低了，个人道德问题而已，别一棒子打死	[(3, '强'), (4, '奸'), (35, '男'), (36, '人'), (57, '一'), (58, '棒'), (59, '子'), (60, '打'), (61, '死')]
CHSD-991	真是怕你抓及的智商又搞错了什么，再给你转换好单位，聊拧舰150000千瓦的发动机耗费5800000升的燃油总共才发14000度电，而按你所说的秦110千瓦的发动机，耗费50升的燃油发400度电，这是我提出质疑的地方，说得这么明白，够照顾你了吧	真是怕你抓鸡的智商又搞错了什么，再给你转换好单位，辽宁舰150000千瓦的发动机耗费5800000升的燃油总共才发14000度电，而按你所说的秦110千瓦的发动机，耗费50升的燃油发400度电，这是我提出质疑的地方，说得这么明白，够照顾你了吧	[(6, '鸡'), (26, '辽'), (27, '宁')]
CHSD-992	记得有大神说过、约的话最好别一起进房间、然后姿势的时候让女的在上面、最好拍张照片啥的证明女的曾经在上面过、这样即使事后告墙剑法院看到这些证据也很难判、	记得有大神说过、约的话最好别一起进房间、然后姿势的时候让女的在上面、最好拍张照片啥的证明女的曾经在上面过、这样即使事后告强奸法院看到这些证据也很难判、	[(61, '强'), (62, '奸')]
CHSD-993	高源要是适合银杜任住银杜任早就爬上去了，距离那么近，所以根本不担心什么流民。	高原要是适合印度人住印度人早就爬上去了，距离那么近，所以根本不担心什么流民。	[(2, '原'), (7, '印'), (8, '度'), (9, '人'), (11, '印'), (12, '度'), (13, '人')]
CHSD-994	他们不是下了，不过是歧视黑仍，黑仍做什么都该死	他们不是瞎了，不过是歧视黑人，黑人做什么都该死	[(5, '瞎'), (14, '人'), (17, '人')]
CHSD-995	你可以说你不喜欢懒人不喜欢好吃懒做的人不喜欢骗子不喜欢花心……但是你说你不喜欢黑人？呵呵。	你可以说你不喜欢懒人不喜欢好吃懒做的人不喜欢骗子不喜欢花心……但是你说你不喜欢黑人？呵呵。	[]
CHSD-996	所以我说下辈子要做蓝省，你们蓝省永远体会不到女省寝室之间的相处模式有多恶新人	所以我说下辈子要做男生，你们男生永远体会不到女生寝室之间的相处模式有多恶心人	[(10, '男'), (11, '生'), (15, '男'), (16, '生'), (24, '生'), (37, '心')]
CHSD-997	被讨厌的人尬聊几句都恶新得不行，更何况接触呢。女士们要多加防范，再熟的人或陌生的人，反正只要是个男的，就要有戒心!	被讨厌的人尬聊几句都恶心得不行，更何况接触呢。女士们要多加防范，再熟的人或陌生的人，反正只要是个男的，就要有戒心!	[(12, '心')]
CHSD-998	麻烦你去了解一下到底什么是至栏癌再来说话，至栏癌不是直男，直男很正常的	麻烦你去了解一下到底什么是直男癌再来说话，直男癌不是直男，直男很正常的	[(14, '直'), (15, '男'), (22, '直'), (23, '男')]
CHSD-999	太户男岸的湖州。 湖州市区经常被某些三县县民黑，事实上，论综合实力，市区有绝对优势，但架不住某些捧资的黑。	太湖南岸的湖州。 湖州市区经常被某些三县县民黑，事实上，论综合实力，市区有绝对优势，但架不住某些喷子的黑。	[(2, '湖'), (3, '南'), (49, '喷'), (50, '子')]
CHSD-1000	点赞。甩拉及肤浅女不止一条街。汝之君，定非常人也。	点赞。甩垃圾肤浅女不止一条街。汝之君，定非常人也。	[(5, '垃'), (6, '圾')]
CHSD-1001	前提是歹徒没有直接一枪爆头了男的再抢见女的。否则根本没有操作的空间。真是刀，并且偷袭，一刀刺入肾脏并绞一下基本上是致命的	前提是歹徒没有直接一枪爆头了男的再强奸女的。否则根本没有操作的空间。真是刀，并且偷袭，一刀刺入肾脏并绞一下基本上是致命的	[(18, '强'), (19, '奸')]
CHSD-1002	天元率全标 真的恶型 ， 要权利时说男女公平，担义务时又自己是率形。	田园女权婊 真的恶心 ， 要权利时说男女公平，担义务时又自己是女性。	[(1, '田'), (2, '园'), (3, '女'), (4, '权'), (5, '婊'), (10, '心'), (32, '女'), (33, '性')]
CHSD-1003	我没有觉得男士出轨就是渣呀婚姻是需要男女双方共同去经营的，多从自己身上找元因，想想怎么去解决问题。	我没有觉得男士出轨就是渣呀婚姻是需要男女双方共同去经营的，多从自己身上找原因，想想怎么去解决问题。	[(37, '原')]
CHSD-1004	两年前的四月，我在衫海某学校的校门口被偷了手机。	两年前的四月，我在上海某学校的校门口被偷了手机。	[(10, '上')]
CHSD-1005	今天鸭以被歧视、被欺负，恨国党和轮子有很大的功劳	今天亚裔被歧视、被欺负，恨国党和轮子有很大的功劳	[(3, '亚'), (4, '裔')]
CHSD-1006	我就是和难er 感觉个人之间差异很大 我的男省朋友基本上都是正常难新 很看不起国男xdz并且很支持杨笠的观点 但是也的确有相当大一部分恶臭拉积 同龄人里起码占60%	我就是河南er 感觉个人之间差异很大 我的男生朋友基本上都是正常男性 很看不起国男xdz并且很支持杨笠的观点 但是也的确有相当大一部分恶臭垃圾 同龄人里起码占60%	[(4, '河'), (5, '南'), (23, '生'), (33, '男'), (34, '性'), (70, '垃'), (71, '圾')]
CHSD-1007	元因，假的民主也是民主，假的也比没有好,而且,总足其是＝颜值歧视+身高歧视＝好看的歧视不好看的+高的歧视矮的,非仍虽然很多长得不好看，但大部分身高不逊佰任，受到的佰任歧视不是最严重的,所以佰任虽然嘲笑非仍长相，	原因，假的民主也是民主，假的也比没有好,而且,种族歧视＝颜值歧视+身高歧视＝好看的歧视不好看的+高的歧视矮的,黑人虽然很多长得不好看，但大部分身高不逊白人，受到的白人歧视不是最严重的,所以白人虽然嘲笑黑人长相，	[(1, '原'), (24, '种'), (25, '族'), (26, '歧'), (27, '视'), (56, '黑'), (57, '人'), (76, '白'), (77, '人'), (82, '白'), (83, '人'), (95, '白'), (96, '人'), (101, '黑'), (102, '人')]
CHSD-1008	黑仍说唱一堆脏话，而且歌词多数粗暴满横，弥漫着各种歧视与暴力，都是骗英语不过关或者品味低俗的人。黑仍说唱在我看来就是“听个响”，哪个喊得大声哪个就火。中国有嘻哈这节目，一听到嘻哈，就感觉跟黑仍说唱有关系，然后一点儿也不想看。	黑人说唱一堆脏话，而且歌词多数粗暴蛮横，弥漫着各种歧视与暴力，都是骗英语不过关或者品味低俗的人。黑人说唱在我看来就是“听个响”，哪个喊得大声哪个就火。中国有嘻哈这节目，一听到嘻哈，就感觉跟黑人说唱有关系，然后一点儿也不想看。	[(2, '人'), (18, '蛮'), (50, '人'), (96, '人')]
CHSD-1009	男的恶新，女的也是够了	男的恶心，女的也是够了	[(4, '心')]
CHSD-1010	请先去看视频弹幕再来交谈，说印度脏乱差，应赌仁脏用皮评这两个字不恰当吧，这和美国的黑仍歧视有什么分别？？	请先去看视频弹幕再来交谈，说印度脏乱差，印度人脏用批评这两个字不恰当吧，这和美国的黑人歧视有什么分别？？	[(21, '印'), (22, '度'), (23, '人'), (26, '批'), (43, '人')]
CHSD-1011	这样的生活方式不被人恶新才怪 想一下广州的黑任 就知道了 窝在花人圈的人就应该赶到自己国家 在任何国家就把自己当成一个国家的人 不然永远活不好	这样的生活方式不被人恶心才怪 想一下广州的黑人 就知道了 窝在华人圈的人就应该赶到自己国家 在任何国家就把自己当成一个国家的人 不然永远活不好	[(12, '心'), (23, '人'), (32, '华')]
CHSD-1012	曾泽生肯定是不稳的，想都想得到。人滇军是被强行绑票到洞被了。被扔在产纯这个铁桶里饿了大半年，没一兵一卒来救他们。想都想得到要出事。既将人当杂牌，又让人送死，谁是啥自吗？	曾泽生肯定是不稳的，想都想得到。人滇军是被强行绑票到东北了。被扔在长春这个铁桶里饿了大半年，没一兵一卒来救他们。想都想得到要出事。既将人当杂牌，又让人送死，谁是傻子吗？	[(27, '东'), (28, '北'), (34, '长'), (35, '春'), (81, '傻'), (82, '子')]
CHSD-1013	那及话还不错，有斯传话的特色和调调，听起来舒服，但是超社会确实还是不适合公开范围传播，作为一个土生土长的斯传人我听得都好尴尬	垃圾话还不错，有四川话的特色和调调，听起来舒服，但是超社会确实还是不适合公开范围传播，作为一个土生土长的四川人我听得都好尴尬	[(1, '垃'), (2, '圾'), (9, '四'), (10, '川'), (53, '四'), (54, '川')]
CHSD-1014	索马里靠近俄塞俄比亚，那个地方的人大多是黑忍的和阿拉伯人的混血。阿拉伯人是呗人人种，所以五官立体，皮肤也没有黑菲周的那么黑。	索马里靠近俄塞俄比亚，那个地方的人大多是黑人的和阿拉伯人的混血。阿拉伯人是白人人种，所以五官立体，皮肤也没有黑非洲的那么黑。	[(22, '人'), (38, '白'), (56, '非'), (57, '洲')]
CHSD-1015	我从来不搞总组起是，如果是真爱女还子嫁给外星人我都支持，但是嫁给飞人，明知道非洲不太平，那老海人有艾滋病，生活作风有问题，违法乱纪的那老多，还敢以身饲狼，脑子呢？？？？不管嫁谁，得有文化吧，得接受过教育的吧，得有稳定工作，	我从来不搞种族歧视，如果是真爱女孩子嫁给外星人我都支持，但是嫁给黑人，明知道非洲不太平，那老海人有艾滋病，生活作风有问题，违法乱纪的那老多，还敢以身饲狼，脑子呢？？？？不管嫁谁，得有文化吧，得接受过教育的吧，得有稳定工作，	[(6, '种'), (7, '族'), (8, '歧'), (9, '视'), (17, '孩'), (33, '黑')]
CHSD-1016	在这里发现好多贵阳世纪城的，kk，以前只是听说世纪城有很多传销窝点，但是现在才知道元来是这样的，好可怕……听说财富中心那几栋楼都有好几家传销窝点……	在这里发现好多贵阳世纪城的，kk，以前只是听说世纪城有很多传销窝点，但是现在才知道原来是这样的，好可怕……听说财富中心那几栋楼都有好几家传销窝点……	[(42, '原')]
CHSD-1017	非常同意！不应该只迎合中国女新的审美，要崇上更强壮的体破，更大块的肌肉证明黄中人也可以！	非常同意！不应该只迎合中国女性的审美，要崇上更强壮的体魄，更大块的肌肉证明黄种人也可以！	[(15, '性'), (28, '魄'), (39, '种')]
CHSD-1018	女仍要，别的拉即不要	女人要，别的垃圾不要	[(2, '人'), (7, '垃'), (8, '圾')]
CHSD-1019	以前没接触整天嚷嚷非泯贵，自从和费人做过室友以后对费人的印象直线下降	以前没接触整天嚷嚷黑命贵，自从和黑人做过室友以后对黑人的印象直线下降	[(10, '黑'), (11, '命'), (17, '黑'), (26, '黑')]
CHSD-1020	不能对没素质的黑人笑 一笑他们就想抢舰你	不能对没素质的黑人笑 一笑他们就想强奸你	[(18, '强'), (19, '奸')]
CHSD-1021	记得前几年有个案例吧，一个女子被抢兼的时候激烈反抗导致施暴者铅笔折断最终死亡，好像最后那女的被判刑了。当时还引起很多讨论。不知道最后到底怎么判了。	记得前几年有个案例吧，一个女子被强奸的时候激烈反抗导致施暴者铅笔折断最终死亡，好像最后那女的被判刑了。当时还引起很多讨论。不知道最后到底怎么判了。	[(17, '强'), (18, '奸')]
CHSD-1022	在正经的大学校园里被黑任留学生莫名其妙吹口哨算吗？！就是觉得好恶型? 而且还是在校园里！	在正经的大学校园里被黑人留学生莫名其妙吹口哨算吗？！就是觉得好恶心? 而且还是在校园里！	[(12, '人'), (33, '心')]
CHSD-1023	谁说歧视鸭一的？哈佛鸭一不要太多，任何一个学校都强调多元化。不要下写文章骗人来评论你。。。。	谁说歧视亚裔的？哈佛亚裔不要太多，任何一个学校都强调多元化。不要瞎写文章骗人来评论你。。。。	[(5, '亚'), (6, '裔'), (11, '亚'), (12, '裔'), (33, '瞎')]
CHSD-1024	我以前也是这样和前女有解释的，还被骂至难癌。	我以前也是这样和前女友解释的，还被骂直男癌。	[(11, '友'), (19, '直'), (20, '男')]
CHSD-1025	是种族正视，允许他们说黄人jj短，就不许说非人智商低了，凭什么，黄人天生就该被屠杀？是低等人？	是种族正视，允许他们说黄人jj短，就不许说黑人智商低了，凭什么，黄人天生就该被屠杀？是低等人？	[(22, '黑')]
CHSD-1026	不单纯是黑任体味重。只要老外不刮毛、不上deodorant、不天天洗澡，那个味道真是受不了，恶新死人了。	不单纯是黑人体味重。只要老外不刮毛、不上deodorant、不天天洗澡，那个味道真是受不了，恶心死人了。	[(6, '人'), (48, '心')]
CHSD-1027	有的，坐标被菁。 给房东打电话想要租房，房东知道我是将酥人，直说不租南方人。	有的，坐标北京。 给房东打电话想要租房，房东知道我是江苏人，直说不租南方人。	[(6, '北'), (7, '京'), (27, '江'), (28, '苏')]
CHSD-1028	事实上酝酿出了“黑名贵”这种社会性事件，就说明有些黑任觉得自己的地位不高。没有人是可以高人一等的，我觉得你应该说的是黑任为什么在以呗任排挤黑任为传统观念的西方社会，居然还能造势造出这么大的动静，在某些时候传统呗任对此好像无动于衷，	事实上酝酿出了“黑命贵”这种社会性事件，就说明有些黑人觉得自己的地位不高。没有人是可以高人一等的，我觉得你应该说的是黑人为什么在以白人排挤黑人为传统观念的西方社会，居然还能造势造出这么大的动静，在某些时候传统白人对此好像无动于衷，	[(10, '命'), (27, '人'), (60, '人'), (66, '白'), (67, '人'), (71, '人'), (105, '白'), (106, '人')]
CHSD-1029	不是？怎么就又黑和男人了？说一句客观事实就是黑？就第与起是？人家也没说侮辱性次啊。哪里学来的如此敏感？神她马政治正确性质文字狱。美国政治正确就特恶型，现在发现中国也有这揍性了。真暨儿烦！	不是？怎么就又黑河南人了？说一句客观事实就是黑？就地域歧视？人家也没说侮辱性次啊。哪里学来的如此敏感？神他妈政治正确性质文字狱。美国政治正确就特恶心，现在发现中国也有这揍性了。真鸡儿烦！	[(9, '河'), (10, '南'), (26, '地'), (27, '域'), (28, '歧'), (29, '视'), (53, '他'), (54, '妈'), (74, '心'), (90, '鸡')]
CHSD-1030	而且说好的绣金鱼，女主一出手成了牡丹锦及图可还行[捂脸]	而且说好的绣金鱼，女主一出手成了牡丹锦鸡图可还行[捂脸]	[(20, '鸡')]
CHSD-1031	看完这个去 站呆了两小时！！！！！爽！！！！[惊喜]那个男粉太恶新人了魔道粉恨不得打死他	看完这个去 站呆了两小时！！！！！爽！！！！[惊喜]那个男粉太恶心人了魔道粉恨不得打死他	[(33, '心')]
CHSD-1032	而且为什么不是去查男的？那个拿着机器的女的真件	而且为什么不是去查男的？那个拿着机器的女的真贱	[(23, '贱')]
CHSD-1033	光董人都看不下去了，恶新	广东人都看不下去了，恶心	[(1, '广'), (2, '东'), (12, '心')]
CHSD-1034	怕不是你才是混子吧？美国嗨任牛逼，是因为他们经过之前露里主“人工筛选”过，弱的都淘汰了。你敢不敢去非洲找找各种不同的黑种人啊！搞笑的要死。	怕不是你才是混子吧？美国黑人牛逼，是因为他们经过之前奴隶主“人工筛选”过，弱的都淘汰了。你敢不敢去非洲找找各种不同的黑种人啊！搞笑的要死。	[(13, '黑'), (14, '人'), (27, '奴'), (28, '隶')]
CHSD-1035	男的是坏，恶型，这种拉几我见一次打一次。女的是纯坚，见一次鄙视一次。	男的是坏，恶心，这种拉几我见一次打一次。女的是蠢贱，见一次鄙视一次。	[(7, '心'), (24, '蠢'), (25, '贱')]
CHSD-1036	他会像中国难人一样，在那排队买爆米花 ，说出来不恶新吗？如果是中国难人这样做，在媚外眼里就是个屁！杨打仍做，就是感动。恶新，恶新！	他会像中国男人一样，在那排队买爆米花 ，说出来不恶心吗？如果是中国男人这样做，在媚外眼里就是个屁！洋大人做，就是感动。恶心，恶心！	[(6, '男'), (26, '心'), (34, '男'), (50, '洋'), (51, '大'), (52, '人'), (61, '心'), (64, '心')]
CHSD-1037	我不信你出门几天不锁门，不然就是有别的防护措施，嗨任贫民窟枪间多的去了好不，只是你所谓的没有多少是根本就没去过的	我不信你出门几天不锁门，不然就是有别的防护措施，黑人贫民窟强奸多的去了好不，只是你所谓的没有多少是根本就没去过的	[(25, '黑'), (26, '人'), (30, '强'), (31, '奸')]
CHSD-1038	划为俄族的基本上都是苏联的欧洲白种人，俄族和少量的乌克兰族白俄族等。其他的跨境民族比如鞑靼人、中亚各民族、西伯利亚各讲突厥语和蒙古语的元住民，大多在中国有对应的少数民族。	划为俄族的基本上都是苏联的欧洲白种人，俄族和少量的乌克兰族白俄族等。其他的跨境民族比如鞑靼人、中亚各民族、西伯利亚各讲突厥语和蒙古语的原住民，大多在中国有对应的少数民族。	[(68, '原')]
CHSD-1039	本地人没人传销……不管你信不信，全是外第的，栋被的一帮，沪难副倍的一帮，呼间的一帮……都是骗自己家人过来的，本地人不去传销的……	本地人没人传销……不管你信不信，全是外地的，东北的一帮，湖南湖北的一帮，福建的一帮……都是骗自己家人过来的，本地人不去传销的……	[(20, '地'), (23, '东'), (24, '北'), (29, '湖'), (30, '南'), (31, '湖'), (32, '北'), (37, '福'), (38, '建')]
CHSD-1040	要求中国女甚和嗨人一起学习，交流语言	要求中国女生和黑人一起学习，交流语言	[(6, '生'), (8, '黑')]
CHSD-1041	还有一点，“跛子”这个词具有攻击性，所以是歧视。因此你可以说他是“残疾人”(陈述事实)，而不能说他是“跛子”(歧视)。换到目前的问题，说昂撒人和费任“体味重”是陈述事实，说他们“臭鼬”、“百披住”才是歧视。	还有一点，“跛子”这个词具有攻击性，所以是歧视。因此你可以说他是“残疾人”(陈述事实)，而不能说他是“跛子”(歧视)。换到目前的问题，说昂撒人和黑人“体味重”是陈述事实，说他们“臭鼬”、“白皮猪”才是歧视。	[(73, '黑'), (74, '人'), (95, '白'), (96, '皮'), (97, '猪')]
CHSD-1042	我怀疑你歧视率型，为什么钕人只能绣军鞋不能打贵字？看到你的话，我大冷天的浑身发烫口干舌燥，地狱空荡荡，贵字在人间，我们率型何时才能真正的站起来[滑稽]	我怀疑你歧视女性，为什么女人只能绣军鞋不能打鬼子？看到你的话，我大冷天的浑身发烫口干舌燥，地狱空荡荡，鬼子在人间，我们女性何时才能真正的站起来[滑稽]	[(7, '女'), (8, '性'), (13, '女'), (23, '鬼'), (24, '子'), (52, '鬼'), (53, '子'), (60, '女'), (61, '性')]
CHSD-1043	我是看到小红书给林允评论的都管她叫县女 很认真地夸林允好看 我就一脸黑人问号 问我男型朋友林允好看吗答挺好看	我是看到小红书给林允评论的都管她叫仙女 很认真地夸林允好看 我就一脸黑人问号 问我男性朋友林允好看吗答挺好看	[(18, '仙'), (43, '性')]
CHSD-1044	女泉是一锅牢属坏了一滴粥，真正平权（我讨厌用女泉来描述平权）的人无法发出声音。	女权是一锅老鼠坏了一滴粥，真正平权（我讨厌用女权来描述平权）的人无法发出声音。	[(2, '权'), (6, '老'), (7, '鼠'), (24, '权')]
CHSD-1045	我是和难人，我们真的不投经该儿。在和难活了20年了，根本没见过井盖儿。更别说偷了。	我是河南人，我们真的不偷井盖儿。在河南活了20年了，根本没见过井盖儿。更别说偷了。	[(3, '河'), (4, '南'), (12, '偷'), (13, '井'), (14, '盖'), (18, '河'), (19, '南')]
CHSD-1046	我们逻辑如此相似，你还敢说你不是指难癌？	我们逻辑如此相似，你还敢说你不是直男癌？	[(17, '直'), (18, '男')]
CHSD-1047	鸭以去那边的有不少是商人，学者，知识分子。他们不是社会的底层。嗨仍很多当时从非洲过去的时候就是努礼。平权之后被放到烂社区。烂社区就是学校烂，环境糟糕。	亚裔去那边的有不少是商人，学者，知识分子。他们不是社会的底层。黑人很多当时从非洲过去的时候就是奴隶。平权之后被放到烂社区。烂社区就是学校烂，环境糟糕。	[(1, '亚'), (2, '裔'), (32, '黑'), (33, '人'), (48, '奴'), (49, '隶')]
CHSD-1048	啊，越南总是喜欢碰瓷，跟购皮膏药似的，甩都甩不掉。	啊，越南总是喜欢碰瓷，跟狗皮膏药似的，甩都甩不掉。	[(13, '狗')]
CHSD-1049	建议题主邀请几个明显带有总主期是倾向的带圈四讲解自己的心路历程作为参考。	建议题主邀请几个明显带有种族歧视倾向的带拳师讲解自己的心路历程作为参考。	[(13, '种'), (14, '族'), (15, '歧'), (16, '视'), (21, '拳'), (22, '师')]
CHSD-1050	你知道及女都不接嗨任的单吗，怕掉价	你知道妓女都不接黑人的单吗，怕掉价	[(4, '妓'), (9, '黑'), (10, '人')]
CHSD-1051	我别怪我发飙\r现在BFHF在外面做和平使者\r我看着就犯恶新\r浩饭出来嗨仍，浩饭再出来做和事老\r别虚伪！	我别怪我发飙\r现在BFHF在外面做和平使者\r我看着就犯恶心\r浩饭出来黑人，浩饭再出来做和事老\r别虚伪！	[(31, '心'), (38, '黑'), (39, '人')]
